iter	R2	RMSE
0	0.02678954206	0.4134315843
1	0.04993448347	0.408485877
2	0.07461056519	0.4031461685
3	0.09743694298	0.3981429636
4	0.1203646605	0.393053441
5	0.1409920194	0.3884175705
6	0.1599024935	0.3841184043
7	0.1774989092	0.3800743045
8	0.1944253811	0.3761431484
9	0.2112492706	0.3721946748
10	0.2274579339	0.3683505618
11	0.2420161704	0.3648633477
12	0.2567328345	0.3613039771
13	0.2706007368	0.3579174959
14	0.2822101251	0.3550576973
15	0.2941752089	0.3520859722
16	0.3065270266	0.3489916517
17	0.3181440587	0.3460561587
18	0.3285155132	0.3434142087
19	0.33806261	0.340964155
20	0.3478498384	0.3384340657
21	0.3572279055	0.3359918748
22	0.3658061362	0.3337423241
23	0.3737347024	0.3316495725
24	0.3814765591	0.3295932811
25	0.3895847389	0.327425847
26	0.3975359088	0.3252863591
27	0.4044678041	0.3234095878
28	0.4103723505	0.3218023332
29	0.416765073	0.3200530941
30	0.4220120147	0.3186101988
31	0.4280420525	0.3169438417
32	0.4326990619	0.3156508906
33	0.4374166076	0.3143357102
34	0.4429386121	0.3127892341
35	0.4479370627	0.3113827602
36	0.4530872496	0.3099269143
37	0.4574053362	0.3087009936
38	0.461795862	0.3074494953
39	0.4660227588	0.3062398066
40	0.4699919079	0.3050995158
41	0.4738703031	0.3039811657
42	0.477049545	0.3030613411
43	0.4806792363	0.3020077666
44	0.4838072007	0.3010968688
45	0.4868028552	0.3002219102
46	0.4889641284	0.2995890675
47	0.4919455	0.2987138913
48	0.4950225006	0.2978079464
49	0.4975988576	0.2970472782
50	0.4998128869	0.2963920273
51	0.5026614138	0.2955468575
52	0.5038696242	0.2951876455
53	0.5064421936	0.2944213372
54	0.5085158443	0.2938021902
55	0.5120499909	0.2927439533
56	0.5140251805	0.2921508483
57	0.5160581342	0.291539138
58	0.5181983688	0.2908937573
59	0.5205973239	0.290168654
60	0.5230155081	0.2894359001
61	0.5247292883	0.2889154682
62	0.5263950963	0.2884087043
63	0.5282179539	0.2878531411
64	0.5296481195	0.2874165093
65	0.5314818947	0.2868556824
66	0.5328819033	0.2864267759
67	0.5346140366	0.2858952293
68	0.5361403428	0.2854260251
69	0.5379920293	0.2848557578
70	0.5392013024	0.2844827186
71	0.5404643441	0.2840925699
72	0.5419899894	0.2836205882
73	0.5434752471	0.2831603453
74	0.5452919472	0.2825963778
75	0.5460587129	0.2823580088
76	0.5471116063	0.2820303613
77	0.5488474144	0.2814893664
78	0.5504237298	0.2809971778
79	0.5518091212	0.2805638905
80	0.5522137434	0.2804372168
81	0.5535072254	0.2800318863
82	0.554638361	0.2796769478
83	0.5554729731	0.2794147663
84	0.5570638066	0.2789143459
85	0.5582043464	0.2785550188
86	0.5597400192	0.2780704715
87	0.560398539	0.2778624315
88	0.5613958444	0.2775470651
89	0.5622574445	0.2772743224
90	0.5629994675	0.2770392171
91	0.5638730065	0.2767621858
92	0.5654705416	0.2762548303
93	0.5671440223	0.2757223542
94	0.568643356	0.2752444141
95	0.5700728251	0.2747879706
96	0.5715895414	0.2743028377
97	0.5731737602	0.2737951958
98	0.5750473723	0.2731936042
99	0.5764714327	0.2727354699
100	0.5778639545	0.2722867366
101	0.5791033166	0.2718867353
102	0.5805560969	0.2714171033
103	0.5816723466	0.2710557068
104	0.5825868665	0.2707592628
105	0.583724235	0.2703901284
106	0.5846058888	0.2701036394
107	0.5855643987	0.2697918312
108	0.5869780489	0.2693313049
109	0.5883503546	0.2688834928
110	0.5897828915	0.268415229
111	0.5906154976	0.2681426933
112	0.5918700862	0.2677315066
113	0.5930702913	0.267337552
114	0.5940278641	0.2670228221
115	0.595871917	0.266415681
116	0.5971853794	0.265982388
117	0.5981321322	0.2656696291
118	0.5991942961	0.2653183054
119	0.6000151114	0.2650464918
120	0.601649431	0.2645044537
121	0.6026873275	0.2641596478
122	0.6042840642	0.2636283055
123	0.6050981395	0.263356995
124	0.6056854991	0.2631610693
125	0.6063743541	0.2629311018
126	0.6078308823	0.2624441906
127	0.608846683	0.2621040773
128	0.6101189523	0.2616774689
129	0.6111912645	0.2613173679
130	0.6121627544	0.2609906957
131	0.6132270763	0.260632338
132	0.6142386527	0.2602912824
133	0.6148416782	0.260087758
134	0.6160816583	0.2596687568
135	0.6169244986	0.2593835665
136	0.6183110528	0.2589137174
137	0.6185506694	0.2588324342
138	0.6198869181	0.2583786807
139	0.6203837719	0.2582097594
140	0.6210065295	0.2579978769
141	0.6216384382	0.2577827028
142	0.6226788443	0.2574280377
143	0.6235005344	0.2571475851
144	0.6241040627	0.2569413988
145	0.6248072614	0.2567009527
146	0.6253504832	0.2565150535
147	0.6259337005	0.2563153171
148	0.6273929897	0.2558148661
149	0.627961092	0.2556197752
150	0.6288783689	0.2553044604
151	0.6292992311	0.2551596581
152	0.6298290315	0.2549772576
153	0.6302634835	0.2548275864
154	0.6309761141	0.2545818904
155	0.631707401	0.2543295155
156	0.631791807	0.25430037
157	0.6328803374	0.2539241989
158	0.6334043289	0.2537429206
159	0.6343263795	0.2534236164
160	0.6347181192	0.2532878359
161	0.6357387358	0.2529337387
162	0.6371621216	0.2524390735
163	0.6379898834	0.2521509576
164	0.6390188667	0.2517923436
165	0.6398693511	0.2514955529
166	0.6403689926	0.2513210312
167	0.6409171719	0.251129416
168	0.641765728	0.2508325159
169	0.6426777807	0.2505130067
170	0.6430609524	0.2503786529
171	0.6435685516	0.2502005591
172	0.6441290701	0.250003751
173	0.6449634679	0.2497104916
174	0.6456417027	0.2494718636
175	0.6461593847	0.2492895703
176	0.6470062961	0.2489910564
177	0.6471094121	0.2489546863
178	0.6478258029	0.2487018608
179	0.6482355938	0.2485571236
180	0.6487345739	0.2483807711
181	0.6494241065	0.2481368661
182	0.6500541894	0.2479137802
183	0.6500827005	0.2479036808
184	0.650673854	0.247694187
185	0.6510331699	0.2475667654
186	0.6518125264	0.2472901623
187	0.6523787584	0.2470890055
188	0.653078033	0.2468403583
189	0.6544211468	0.2463620718
190	0.6551664158	0.2460962785
191	0.6558364559	0.2458570696
192	0.6564510088	0.2456374651
193	0.6569079826	0.2454740427
194	0.6572651856	0.2453462243
195	0.6575854663	0.2452315613
196	0.6580826858	0.2450534465
197	0.6586160214	0.24486225
198	0.6590898089	0.2446922758
199	0.6598396897	0.2444230098
200	0.6605170819	0.2441795176
201	0.6609121466	0.2440373974
202	0.6609175627	0.2440354484
203	0.6615949619	0.2437915666
204	0.6618736163	0.2436911728
205	0.6633909301	0.2431437861
206	0.6638596208	0.2429744518
207	0.6641718518	0.2428615797
208	0.6644523251	0.2427601432
209	0.665011036	0.2425579525
210	0.6655022375	0.2423800533
211	0.6659046115	0.2422342276
212	0.6662358306	0.2421141234
213	0.6668706531	0.2418837622
214	0.6670582852	0.2418156331
215	0.6673535332	0.24170839
216	0.6680506201	0.2414549977
217	0.668778559	0.2411901065
218	0.6692772286	0.2410084765
219	0.6700348253	0.2407322755
220	0.6704189288	0.2405921198
221	0.6709485104	0.2403987465
222	0.6713753029	0.2402427927
223	0.6720290569	0.2400037086
224	0.673303669	0.2395368845
225	0.673930418	0.239307005
226	0.6743378331	0.2391574545
227	0.6749597258	0.2389289948
228	0.6756004569	0.2386933859
229	0.6763272171	0.2384258607
230	0.6769179443	0.2382081888
231	0.6772574608	0.2380829932
232	0.6783761395	0.2376700176
233	0.6786802531	0.2375576259
234	0.6791433476	0.237386377
235	0.6794931043	0.2372569576
236	0.6799135634	0.237101283
237	0.6804406363	0.2369059902
238	0.6807942974	0.2367748602
239	0.6811657984	0.2366370373
240	0.681577618	0.2364841628
241	0.6823283481	0.2362052243
242	0.6826644121	0.2360802507
243	0.6832889784	0.2358478148
244	0.6835365139	0.2357556296
245	0.6838080861	0.2356544514
246	0.6841291247	0.2355347877
247	0.6844487566	0.2354155879
248	0.6847568837	0.2353006214
249	0.6847760038	0.2352934856
250	0.6850588034	0.2351879165
251	0.6860303629	0.2348248717
252	0.686316239	0.2347179408
253	0.6863556688	0.2347031884
254	0.6867019482	0.2345735904
255	0.6869909284	0.2344653823
256	0.6873923599	0.2343149842
257	0.6879194355	0.2341173661
258	0.6883512536	0.2339553389
259	0.6889467012	0.2337317302
260	0.6893278301	0.2335884923
261	0.6896235492	0.2334772931
262	0.6900288804	0.2333247903
263	0.690381212	0.2331921472
264	0.6909009051	0.2329963592
265	0.6912693315	0.2328574594
266	0.6915278792	0.2327599353
267	0.6919648671	0.2325950107
268	0.6922870493	0.2324733402
269	0.692525155	0.2323833798
270	0.69296273	0.2322179657
271	0.6931525058	0.2321461891
272	0.6936343933	0.2319638309
273	0.6938243686	0.2318919001
274	0.6945189861	0.2316287054
275	0.6950288832	0.2314353118
276	0.6952515542	0.2313508065
277	0.6957267679	0.2311703561
278	0.696046163	0.2310489947
279	0.6965587932	0.2308540759
280	0.6968757941	0.2307334593
281	0.6970917135	0.2306512674
282	0.6974151188	0.2305281051
283	0.6976993163	0.2304198199
284	0.6981730668	0.2302391979
285	0.6987043244	0.2300364821
286	0.6989932494	0.2299261599
287	0.6993783595	0.2297790282
288	0.6996316771	0.2296821966
289	0.7000096046	0.2295376565
290	0.7003276398	0.229415952
291	0.7009267875	0.2291864967
292	0.7014240023	0.228995904
293	0.7018493519	0.2288327327
294	0.7021524423	0.2287163912
295	0.7025116245	0.228578442
296	0.7029289533	0.2284180562
297	0.7031531486	0.228331848
298	0.7036933547	0.2281239926
299	0.7042434392	0.2279121415
300	0.7042930723	0.2278930169
301	0.7046647258	0.2277497604
302	0.7050225171	0.227611762
303	0.705193298	0.2275458632
304	0.7053645872	0.227479749
305	0.70575687	0.2273282632
306	0.7065179005	0.227034092
307	0.7069384734	0.2268713587
308	0.7073846437	0.2266985932
309	0.7077505972	0.2265567909
310	0.7082452975	0.2263649596
311	0.7084874668	0.2262709936
312	0.7091753194	0.2260038815
313	0.7095422187	0.2258612753
314	0.7101079883	0.2256411956
315	0.7103573169	0.2255441406
316	0.7108202618	0.2253638215
317	0.7109668044	0.2253067124
318	0.7114230775	0.2251288054
319	0.7118879904	0.2249473851
320	0.7123414239	0.2247703032
321	0.7125297882	0.2246966992
322	0.7130008743	0.2245125151
323	0.7133632626	0.2243707265
324	0.7136680191	0.2242514176
325	0.7141708077	0.2240544424
326	0.7144391072	0.223949261
327	0.7145445704	0.2239079028
328	0.7150763402	0.2236992486
329	0.7157173554	0.22344747
330	0.7160114497	0.2233318603
331	0.7164449789	0.223161329
332	0.7167848891	0.2230275321
333	0.7171472517	0.222884809
334	0.7175792425	0.222714542
335	0.7180158919	0.2225423065
336	0.7184764237	0.222360506
337	0.7186670306	0.2222852181
338	0.719010129	0.2221496333
339	0.7191866426	0.2220798468
340	0.7194431042	0.2219784129
341	0.7197207572	0.2218685453
342	0.7200339814	0.2217445368
343	0.7201801223	0.2216866545
344	0.7203891168	0.2216038513
345	0.7209427438	0.2213843558
346	0.7215447124	0.2211454472
347	0.7216944873	0.2210859645
348	0.7219826528	0.2209714755
349	0.7222759295	0.2208548949
350	0.7226728576	0.2206970136
351	0.7229083332	0.2206032979
352	0.7234983768	0.2203682946
353	0.7237296453	0.2202761163
354	0.7240140742	0.2201626966
355	0.7242259582	0.220078167
356	0.7244582421	0.2199854618
357	0.7247743848	0.2198592255
358	0.725253657	0.2196677129
359	0.7256403411	0.2195130759
360	0.725819506	0.21944139
361	0.7263180518	0.2192417927
362	0.7264864846	0.219174318
363	0.7267919043	0.219051913
364	0.7274078841	0.2188048345
365	0.7276294439	0.2187158954
366	0.7278688509	0.2186197513
367	0.7281440958	0.2185091627
368	0.7289755746	0.2181747487
369	0.7293209861	0.2180356762
370	0.7295792326	0.2179316408
371	0.7296249589	0.2179132146
372	0.7299477917	0.2177830796
373	0.730300074	0.2176409845
374	0.7307134864	0.2174741139
375	0.7310051774	0.2173562981
376	0.7310830289	0.2173248425
377	0.7314361159	0.2171821224
378	0.7319261156	0.2169839055
379	0.7319357627	0.2169800012
380	0.7322770967	0.2168418137
381	0.7326904066	0.2166743692
382	0.7329206502	0.2165810343
383	0.7331822479	0.2164749403
384	0.7333364488	0.2164123781
385	0.7333833833	0.2163933323
386	0.7336675282	0.2162779916
387	0.7341062797	0.2160997719
388	0.7346176992	0.2158918489
389	0.7347189239	0.2158506712
390	0.734788602	0.2158223219
391	0.7349393662	0.2157609692
392	0.7349909036	0.2157399923
393	0.7352343667	0.2156408696
394	0.7353541325	0.2155920919
395	0.7357457637	0.2154325129
396	0.7362299946	0.2152350385
397	0.736282709	0.2152135301
398	0.7364797473	0.2151331159
399	0.7367920951	0.2150055805
400	0.7370501481	0.2149001573
401	0.7372363731	0.2148240461
402	0.7376391261	0.2146593463
403	0.7381359307	0.2144560114
404	0.7385254786	0.2142964401
405	0.7386812144	0.2142326125
406	0.738866423	0.2141566807
407	0.7391966654	0.2140212214
408	0.7393410682	0.213961963
409	0.7396734197	0.2138255141
410	0.7398415972	0.2137564346
411	0.7399853446	0.2136973722
412	0.7402564602	0.2135859327
413	0.7404502467	0.213506243
414	0.7405827195	0.2134517498
415	0.7410265039	0.213269096
416	0.7413001376	0.2131563952
417	0.7414603512	0.2130903808
418	0.7416609713	0.2130076884
419	0.7419461132	0.2128901023
420	0.7425912543	0.2126238205
421	0.7427933011	0.2125403571
422	0.7429487557	0.2124761181
423	0.7431397853	0.2123971519
424	0.743527137	0.2122369413
425	0.7435514758	0.2122268706
426	0.7437795051	0.2121324955
427	0.7443854308	0.2118815152
428	0.7444647138	0.2118486534
429	0.7446040508	0.2117908876
430	0.744644125	0.2117742709
431	0.7448927118	0.2116711656
432	0.7450690627	0.2115979908
433	0.7452780793	0.2115112289
434	0.7454295565	0.2114483292
435	0.7454807055	0.2114270857
436	0.745634407	0.2113632368
437	0.7459172499	0.211245691
438	0.746341498	0.2110692563
439	0.7467549626	0.2108971642
440	0.7469768576	0.2108047492
441	0.7473375109	0.2106544575
442	0.7478112817	0.2104568643
443	0.7481281826	0.2103245925
444	0.7488613692	0.2100182471
445	0.7490672294	0.2099321526
446	0.7491321493	0.2099049947
447	0.7494344359	0.2097784926
448	0.749642631	0.2096913219
449	0.7500113948	0.2095368327
450	0.7500921691	0.209502978
451	0.7502880154	0.2094208709
452	0.7504427013	0.2093559972
453	0.7505461088	0.2093126179
454	0.7506776248	0.2092574342
455	0.7510572774	0.2090980514
456	0.7511604202	0.2090547298
457	0.7512565795	0.2090143333
458	0.7513451201	0.2089771305
459	0.7518414176	0.2087684746
460	0.7519461862	0.2087244006
461	0.7521158217	0.2086530186
462	0.7523230683	0.208565777
463	0.7527382577	0.2083908906
464	0.7532721619	0.2081657832
465	0.7534176638	0.2081043937
466	0.7535693957	0.2080403564
467	0.7539577881	0.2078763485
468	0.7542644958	0.2077467424
469	0.7544119737	0.2076843935
470	0.7549601443	0.2074524806
471	0.7550636689	0.2074086536
472	0.7551625958	0.2073667644
473	0.7556053991	0.2071791619
474	0.7556434419	0.2071630363
475	0.7562751307	0.2068950934
476	0.7564958552	0.206801387
477	0.7569444508	0.2066108092
478	0.7570983141	0.2065454026
479	0.7575490399	0.2063536819
480	0.7579551438	0.2061807889
481	0.7583415516	0.2060161465
482	0.7586632073	0.2058789936
483	0.7588006837	0.2058203462
484	0.7588824502	0.2057854567
485	0.7591339857	0.2056780903
486	0.7598853886	0.2053570242
487	0.7599773976	0.2053176753
488	0.7603635016	0.2051524702
489	0.761054526	0.2048564642
490	0.7611616825	0.2048105245
491	0.761739175	0.2045627666
492	0.7619140269	0.2044876919
493	0.7621618023	0.2043812593
494	0.762655239	0.204169137
495	0.7630076889	0.2040174881
496	0.7634248982	0.2038378294
497	0.7634378129	0.2038322655
498	0.7635132223	0.2037997749
499	0.7637484691	0.2036983841
500	0.7638276742	0.2036642355
501	0.7643732036	0.2034288797
502	0.7645750723	0.2033417192
503	0.76473824	0.2032712412
504	0.7652390661	0.2030547636
505	0.7653653565	0.2030001393
506	0.765373557	0.2029965919
507	0.7657099443	0.2028510201
508	0.7659246862	0.2027580358
509	0.7659948733	0.2027276351
510	0.7660559839	0.2027011622
511	0.7661416967	0.2026640258
512	0.7663166373	0.2025882089
513	0.7666349261	0.2024501941
514	0.766951716	0.2023127358
515	0.7670561688	0.2022673922
516	0.7673109226	0.2021567593
517	0.7675975004	0.2020322337
518	0.7676508221	0.2020090556
519	0.7678965482	0.2019022077
520	0.7682119935	0.2017649612
521	0.7685001496	0.2016395063
522	0.7686814961	0.2015605132
523	0.7687075454	0.2015491638
524	0.7690329872	0.2014073183
525	0.7695605913	0.2011771467
526	0.7699083937	0.201025271
527	0.7703271095	0.2008422769
528	0.7704743099	0.2007779054
529	0.7706174678	0.2007152818
530	0.7706555674	0.2006986121
531	0.7707113384	0.2006742081
532	0.7709352774	0.2005761881
533	0.7710821746	0.2005118639
534	0.7713413467	0.2003983257
535	0.7714328373	0.2003582302
536	0.771719323	0.2002326265
537	0.7722617077	0.1999946131
538	0.7726851327	0.1998086055
539	0.7728501515	0.199736067
540	0.7731040379	0.1996244128
541	0.773454691	0.1994700998
542	0.7738261195	0.1993065139
543	0.7739392186	0.1992566757
544	0.773949203	0.1992522753
545	0.77411651	0.1991785254
546	0.7741800587	0.1991505056
547	0.7745503146	0.1989871743
548	0.7750559612	0.1987639013
549	0.775783938	0.1984420151
550	0.7759264769	0.1983789282
551	0.7761396018	0.1982845628
552	0.7767043629	0.198034286
553	0.7770151431	0.1978964272
554	0.7774413463	0.1977072116
555	0.777721449	0.1975827595
556	0.7780292657	0.1974459035
557	0.7781431164	0.1973952611
558	0.778418123	0.1972728808
559	0.7785894629	0.1971965946
560	0.7787819524	0.1971108568
561	0.779213362	0.1969185646
562	0.7795114714	0.1967855785
563	0.7795292175	0.1967776591
564	0.7798468623	0.1966358537
565	0.779972961	0.1965795313
566	0.7803466639	0.1964125211
567	0.7808991285	0.1961653605
568	0.7810824697	0.1960832688
569	0.781428449	0.1959282616
570	0.7814486211	0.1959192202
571	0.7817696806	0.1957752613
572	0.7818447843	0.1957415705
573	0.7821263283	0.1956152209
574	0.7822249246	0.1955709541
575	0.7823928045	0.1954955581
576	0.7827241755	0.1953466516
577	0.7828317419	0.1952982907
578	0.7830147012	0.1952160062
579	0.7834920175	0.1950011734
580	0.7836816506	0.1949157568
581	0.7842562987	0.1946566885
582	0.7843564186	0.1946115162
583	0.7846746435	0.1944678692
584	0.7848551721	0.1943863312
585	0.7849393531	0.1943482982
586	0.785263464	0.194201795
587	0.7855824855	0.1940574842
588	0.7859516511	0.1938903565
589	0.7863001248	0.1937324642
590	0.7866138253	0.1935902172
591	0.7866399311	0.1935783749
592	0.7867599364	0.1935239278
593	0.7869503572	0.1934375012
594	0.7872422169	0.1933049594
595	0.7874558493	0.1932078852
596	0.7875243748	0.193176737
597	0.7877235587	0.1930861697
598	0.78805	0.1929376474
599	0.7881259772	0.1929030634
600	0.788172636	0.1928818217
601	0.7884316193	0.1927638755
602	0.7887511879	0.1926182381
603	0.789045991	0.1924837893
604	0.7893180702	0.1923596207
605	0.7896448487	0.192210383
606	0.7898464423	0.1921182586
607	0.790072032	0.1920151161
608	0.790263514	0.1919275245
609	0.7907030198	0.1917263257
610	0.7908557049	0.1916563794
611	0.7912307927	0.1914844401
612	0.791343626	0.1914326874
613	0.7915936419	0.1913179639
614	0.7916690309	0.1912833571
615	0.79201184	0.1911259137
616	0.7921407888	0.1910666572
617	0.7922587189	0.1910124482
618	0.7926810706	0.190818179
619	0.7929485619	0.1906950385
620	0.7929732593	0.190683665
621	0.7929803001	0.1906804225
622	0.7932796653	0.1905425039
623	0.7934066963	0.1904839501
624	0.7937920458	0.1903062165
625	0.794070478	0.1901776926
626	0.7941791959	0.190127485
627	0.7944265028	0.1900132255
628	0.7946238879	0.1899219813
629	0.7948188675	0.189831806
630	0.795131342	0.1896872016
631	0.7954849103	0.189523447
632	0.7955422695	0.1894968679
633	0.7958709521	0.1893444907
634	0.7959533257	0.1893062831
635	0.7963833828	0.1891066831
636	0.7965222594	0.189042182
637	0.7966779376	0.1889698513
638	0.7967528578	0.1889350322
639	0.7969042637	0.188864647
640	0.7972394036	0.1887087545
641	0.7972636264	0.1886974821
642	0.797376262	0.1886450569
643	0.7975396816	0.1885689687
644	0.7976175554	0.1885326999
645	0.7976894102	0.1884992282
646	0.7977094148	0.1884899085
647	0.7979400517	0.1883824266
648	0.7982856063	0.1882212758
649	0.798520464	0.1881116701
650	0.7988994005	0.1879346895
651	0.7991442458	0.1878202469
652	0.7991637246	0.1878111394
653	0.7991712053	0.1878076416
654	0.7992517175	0.1877699918
655	0.7992574305	0.18776732
656	0.7993387399	0.1877292892
657	0.7995060114	0.1876510272
658	0.7996697894	0.187574368
659	0.7997485999	0.1875374683
660	0.8001197578	0.1873635911
661	0.8001911491	0.1873301277
662	0.8002066648	0.1873228543
663	0.8002121444	0.1873202855
664	0.8004186674	0.1872234429
665	0.800908499	0.1869935509
666	0.8011927273	0.1868600247
667	0.8013187474	0.1868007918
668	0.8015859686	0.1866751284
669	0.8018574143	0.1865473918
670	0.8020871576	0.1864392109
671	0.8023315782	0.18632405
672	0.8023770028	0.1863026399
673	0.802716291	0.1861426448
674	0.8029942984	0.1860114447
675	0.8032821749	0.1858754895
676	0.8036338449	0.1857092716
677	0.8039404937	0.1855642115
678	0.8042791542	0.1854038764
679	0.8042943948	0.1853966576
680	0.8045120999	0.1852935103
681	0.8047916068	0.1851609974
682	0.8050325721	0.1850466807
683	0.8053150954	0.1849125585
684	0.8053260717	0.1849073457
685	0.805683475	0.1847375313
686	0.8060424815	0.184566798
687	0.8061395957	0.184520586
688	0.8063972108	0.1843979434
689	0.8065879793	0.1843070718
690	0.8068607577	0.1841770573
